Raw Roll, Raw Pitch, Raw Yar, Raw X, Raw Y, Raw Z, DMP Roll, DMP Pitch, DMP Yaw
50.131134,-961.0662,-45.805084,641.64294,16211.918,349.17047,-1.5635071,-0.04486084,0.037597656,
49.608215,-960.47577,-45.879288,640.5593,16201.834,339.5451,-1.5635071,-0.04486084,0.037597656,
49.053513,-959.9651,-45.964066,641.4836,16200.356,344.77896,-1.563324,-0.044677734,0.036102295,
48.413605,-959.58246,-46.074936,641.01575,16203.325,353.28845,-1.5632935,-0.044677734,0.034942627,
47.610367,-959.2354,-46.22467,640.3948,16202.099,351.94916,-1.5635071,-0.044677734,0.03479004,
46.765244,-958.9281,-46.38687,642.3352,16198.695,348.6443,-1.5641174,-0.044677734,0.03567505,
45.852493,-958.70386,-46.562775,646.681,16194.632,349.469,-1.5648193,-0.04486084,0.036743164,
44.888855,-958.5644,-46.748535,649.0926,16184.577,364.3078,-1.5648193,-0.04486084,0.036743164,
43.73738,-958.6652,-46.967102,647.86383,16174.128,367.6651,-1.565155,-0.04486084,0.03756714,
42.644196,-959.21686,-47.16681,647.3578,16171.821,354.49057,-1.565155,-0.04486084,0.03756714,
41.62442,-959.9588,-47.352524,649.2018,16171.446,346.83255,-1.5655823,-0.044921875,0.038146973,
40.86458,-960.5252,-47.49681,651.1613,16172.607,343.9394,-1.5661011,-0.044921875,0.038970947,
40.08499,-961.0381,-47.651794,651.42523,16176.252,343.73502,-1.5664978,-0.045043945,0.03967285,
39.23706,-961.50165,-47.823532,652.0626,16178.933,339.95193,-1.5669861,-0.04510498,0.040771484,
38.308746,-961.91406,-48.013138,651.5366,16182.045,334.24774,-1.5675354,-0.04559326,0.042022705,
37.140274,-962.2848,-48.248383,651.2631,16185.945,328.91406,-1.5684509,-0.045654297,0.044189453,
35.669876,-962.6334,-48.53488,653.3164,16187.256,320.0148,-1.5684509,-0.045654297,0.044189453,
33.610977,-963.01917,-48.9283,656.46405,16188.137,305.90698,-1.5698853,-0.045837402,0.04751587,
31.332977,-963.36926,-49.357193,659.8968,16187.828,286.61163,-1.5698853,-0.045837402,0.04751587,
29.112183,-963.67847,-49.776123,662.5863,16184.353,265.34692,-1.571701,-0.04626465,0.052337646,
27.536957,-963.8906,-50.078217,664.407,16183.623,249.9079,-1.5735321,-0.046691895,0.056732178,
26.165894,-964.06384,-50.339798,665.5457,16188.466,246.01042,-1.5748444,-0.046936035,0.060272217,
24.84465,-964.2123,-50.582703,668.4701,16190.125,239.00357,-1.5759735,-0.04699707,0.06286621,
23.530823,-964.3384,-50.81378,671.6019,16187.119,224.89935,-1.5770111,-0.047180176,0.065460205,
22.266083,-964.4544,-51.029236,673.52075,16184.113,211.70576,-1.5780792,-0.047546387,0.06796265,
21.07544,-964.5737,-51.22563,676.14746,16181.409,199.5317,-1.5780792,-0.047546387,0.06796265,
19.69078,-964.69666,-51.44673,678.0116,16180.074,191.57437,-1.5789948,-0.047668457,0.0703125,
18.300934,-964.7774,-51.663666,678.9895,16181.572,189.11168,-1.5789948,-0.047668457,0.0703125,
15.512848,-964.8583,-52.08963,680.5717,16187.424,185.4004,-1.5798798,-0.047912598,0.07232666,
14.413376,-964.8921,-52.249283,680.4938,16187.1875,178.65634,-1.5806427,-0.047973633,0.07424927,
13.4039,-964.92255,-52.390472,679.52386,16182.676,164.78864,-1.5806427,-0.047973633,0.07424927,
11.499603,-964.9782,-52.642227,678.3152,16181.499,151.42256,-1.5812836,-0.048095703,0.07571411,
10.426086,-965.032,-52.77913,676.56335,16186.754,160.47346,-1.5812836,-0.048095703,0.07571411,
8.026993,-965.1906,-53.080215,673.93774,16189.051,169.76187,-1.5818329,-0.04815674,0.07687378,
6.71492,-965.2832,-53.25142,672.12384,16189.752,170.58029,-1.5818329,-0.04815674,0.07687378,
5.398178,-965.37244,-53.429214,673.69055,16190.982,167.9177,-1.5823212,-0.04815674,0.07785034,
4.1352997,-965.4527,-53.607193,677.9999,16193.489,162.62209,-1.5823212,-0.04815674,0.07785034,
2.791504,-965.531,-53.800385,679.4788,16195.945,159.25572,-1.582901,-0.04840088,0.07913208,
1.6644592,-965.58966,-53.965164,680.9098,16194.057,150.22748,-1.5835419,-0.048461914,0.08078003,
0.75183105,-965.62756,-54.103577,681.8978,16190.158,140.70247,-1.5843048,-0.048583984,0.082336426,
-0.006668091,-965.6492,-54.22058,681.0874,16190.048,140.92787,-1.584549,-0.048583984,0.08291626,
-0.7367096,-965.6686,-54.33087,681.7577,16189.749,140.93077,-1.584732,-0.048583984,0.08300781,
-1.4635773,-965.6886,-54.437622,682.36096,16189.58,142.23306,-1.5847931,-0.04864502,0.082977295,
-2.2050629,-965.70654,-54.541183,682.2041,16191.027,148.60385,-1.5847931,-0.04864502,0.082977295,
-3.0806732,-965.723,-54.65901,683.5625,16193.2295,150.13855,-1.5848236,-0.04864502,0.08300781,
-3.91362,-965.7348,-54.77104,686.68463,16196.312,145.2213,-1.5848236,-0.04864502,0.08300781,
-5.5104523,-965.75793,-54.983017,689.524,16200.292,137.76266,-1.5849152,-0.04864502,0.08319092,
-6.2436066,-965.77234,-55.076767,689.05066,16200.568,136.18257,-1.5850372,-0.04864502,0.08328247,
-7.060486,-965.7928,-55.181076,690.4242,16200.517,133.26086,-1.5850372,-0.04864502,0.08328247,
-8.056976,-965.82385,-55.30577,690.3607,16199.871,131.6311,-1.5852814,-0.048828125,0.083862305,
-8.992722,-965.8548,-55.418,688.604,16198.79,132.46376,-1.5852814,-0.048828125,0.083862305,
-9.95462,-965.8887,-55.530975,689.02246,16197.416,128.31435,-1.5859222,-0.048828125,0.08465576,
-10.738388,-965.9165,-55.620697,690.8987,16196.581,119.18121,-1.5862885,-0.04888916,0.08544922,
-11.451263,-965.9391,-55.69896,690.2879,16196.828,116.06021,-1.5865936,-0.04888916,0.086242676,
-12.192612,-965.9595,-55.78186,689.2383,16197.95,115.25084,-1.5868988,-0.04901123,0.08670044,
-13.014465,-965.9802,-55.876434,690.1932,16198.261,109.6236,-1.587265,-0.04901123,0.087402344,
-13.931778,-966.00397,-55.981567,691.45245,16197.841,102.5596,-1.5878448,-0.049072266,0.088531494,
-14.947037,-966.02783,-56.096146,692.08594,16198.162,95.30228,-1.5878448,-0.049072266,0.088531494,
-16.146973,-966.05054,-56.22873,692.1562,16198.751,87.87094,-1.5885162,-0.049072266,0.090026855,
-17.21196,-966.06506,-56.345062,691.71954,16199.382,80.88286,-1.5885162,-0.049072266,0.090026855,
-18.188889,-966.0751,-56.45581,692.2264,16200.648,73.69385,-1.5891876,-0.049072266,0.091278076,
-18.959,-966.08264,-56.548843,693.3823,16202.788,67.223785,-1.589798,-0.049438477,0.09246826,
-19.654587,-966.0869,-56.63507,695.32245,16204.415,61.500748,-1.5902557,-0.049438477,0.09341431,
-20.285599,-966.0858,-56.712677,696.16876,16205.078,59.54927,-1.5906525,-0.04949951,0.09402466,
-20.856628,-966.0798,-56.782913,695.63074,16204.776,59.792465,-1.590744,-0.04949951,0.0942688,
-21.340118,-966.0719,-56.84294,696.1463,16203.904,60.61119,-1.5907745,-0.04949951,0.09423828,
-21.77031,-966.0648,-56.896973,696.8103,16203.519,63.947403,-1.5907745,-0.04949951,0.09423828,
-22.258423,-966.0572,-56.95865,696.708,16203.272,66.45009,-1.590744,-0.04949951,0.09402466,
-22.74263,-966.0503,-57.02014,696.0161,16202.851,68.3026,-1.590744,-0.04949951,0.09402466,
